"PhysicalDataID","StationCode","Date","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","Datetime","Year","Month","MonthAbb","Flag_PQC","Comment_PQC"
1879,"STTD",2019-06-03,"09:22:00","CLR","Ebb",1,23.3,0.24,594,614,7.9,5.4,39.2,1559553720,"2019","6","Jun","NA",NA
1878,"SHR",2019-05-21,"09:59:00","CLD","Ebb",1,13.8,0.68,82,105,7.5,10.13,13.1,1558432740,"2019","5","May","NA",NA
1876,"STTD",2019-05-20,"10:10:00","CLD","Ebb",1,16.6,0.21,559,666,7.83,6.74,36.1,1558347000,"2019","5","May","NA",NA
1875,"SHR",2019-05-07,"10:13:00","CLR","Ebb",1,15.1,0.8,84,103,7.54,9.94,9.5,1557223980,"2019","5","May","NA",NA
1874,"STTD",2019-05-06,"09:53:00","CLD","Ebb",1,19.3,0.19,566,635,7.37,6.3,38.8,1557136380,"2019","5","May","NA",NA
1872,"STTD",2019-04-22,"09:58:00","CLR","Overtopping",1,17.8,0.33,283,328,8.02,8.11,23.1,1555927080,"2019","4","Apr","NA",NA
1868,"SHR",2019-04-23,"09:10:00","CLR","Overtopping",1,15.3,0.5,96,118,7.87,10.01,16.7,1556010600,"2019","4","Apr","NA",NA
1866,"SHR",2019-04-16,"09:13:00","CLD","Overtopping",1,11,0.4,76,104,7.53,10.61,18.3,1555405980,"2019","4","Apr","NA",NA
1864,"STTD",2019-04-15,"11:06:00","CLD","Overtopping",1,NA,0.21,NA,NA,7.78,13.16,39.9,1555326360,"2019","4","Apr","NA",NA
1863,"SHR",2019-04-09,"09:10:00","CLR","Ebb",1,12.8,0.35,78,101,7.77,10.69,21.3,1554801000,"2019","4","Apr","NA",NA
1862,"STTD",2019-04-08,"09:56:00","CLD","Overtopping",1,16.6,0.32,161,191,7.75,8.73,22.4,1554717360,"2019","4","Apr","NA",NA
1860,"SHR",2019-04-04,"09:25:00","CLD","Ebb",1,12.6,0.4,88,115,7.47,10.44,17.9,1554369900,"2019","4","Apr","NA",NA
1859,"STTD",2019-04-03,"10:25:00","CLD","Overtopping",1,14.9,0.35,182,225,7.84,8.83,24.8,1554287100,"2019","4","Apr","NA",NA
